pgpid,type,tags,description
3732,Letter,,"Secondary use: Note to Abū l-Faḍl b. Elʿazar. In Judaeo-Arabic. ""You are neither a scholar nor a relative nor a friend of mine because of what you did!"" Specifically, the sender is upset that the addressee did not come to see him off before he traveled, and he now invites him again in belligerent terms. (Information from Mediterranean Society, V, 34, where there is a full translation.)"
3733,Letter,trade,"Letter from Hayyim b. Immanuel b. Qayoma from Mahdiyya, probably to Yehuda b. Ismail al-Andalusi. Around 1055. Concerning a shipment of boswellia and clothes. The clothes got wet during the sailing. Also mentions pearls. (Information from Gil, Kingdom, vol. 4, pp. 274-276, #687). VMR"
3734,Letter,,Letter mentioning the recipient's deliverance from some disaster.
3735,Letter,"Nahray B. Nissim, trade",Business letter from Rahamim b. 'Imran in Tinnis to Nahray b. Nissim in Fustat. Dated ca. 1055.
3736,Letter,,"Letter from a man in Fustat to his brother, a silk weaver, who has fled to Aswan to escape the capitation tax collectors. He assures his brother that he can return since the capitation tax had been paid for the whole family."
3737,Letter,"Alexandria, communal, Qaraites, complaints, Petition","Letter from the Karaite congregation of Alexandria to the leader of their community, complaining about the helplessness and dissolution of the community. (Information from Mediterranean Society, V, p. 365) Reused for Arabic accounts with Coptic numerals (see PGPID 35173)."
3738,Letter,,"Letter in which the writer remarks that he was pleased to learn that the recipient, who had not written in a while, was well and promises to keep writing if his letters are reciprocated. (Information from Mediterranean Society, V, pp. 294, 588)"
3739,Letter,,Letter from Farah b. Yusuf sending condolences for the death of a relative of the addressee and also discussing business. (Information from Gil)
3740,Letter,"trade, Nisaburi, Nisab","Business letter from Yiṣḥaq Nīsābūrī to ʿUlla Dimashqī. Mentions Alexandria, Ashqelon, shipments of rhubarb, and a business dispute brought to court. (Information in part from Goitein's index card and Mediterranean Society, I, pp. 209, 452.) Joins: Alan Elbaum. T-S AS 157.183 appears to be in the same hand and also mentions Abū Sahl Mukhtār, but does not seem to be a join (doesn't fit and has slightly wider line spacing)."
3741,Letter,,Letter addressed to R. Yiṣḥaq by way of Binyamin ha-Zaqen. In Judaeo-Arabic. Repeating a request that a cantor leave the capital for the writer's village in order to conduct prayers there and promising that the cantor will be able to return immediately afterwards. (Information from Goitein's index cards)
3742,Letter,communal,Beginning and address of a letter from Tahor b. Avraham to the judge Eliyyahu b. Zechariah. (Information from Goitein's index cards)
3743,Letter,,"Letter fragment from an unidentified sender, in Damsīs, to Abū l-Faraj Yosef b. Yaʿaqov Ibn ʿAwkal, likely in Fustat. In Judaeo-Arabic. Dating: first half of the 11th century. On verso there are 5 lines of an unrelated account in Arabic script, referring to rent for a house and listing amounts and names. At the top of recto there is alphabet writing practice in Hebrew."
3744,Letter,"personal, Yedutun ha-Levi","Fragmentary letter to a friend mentioning repeatedly the writer's gratitude. The hand resembles that of the cantor Yedutun ha-Levi, supported by his mention of his brother Musa. But needs further examination. ASE."
3745,Legal document,"Mamluk, cheese, Partnership, food","Legal document. Partnership agreement. Dating: Mamluk period (1250–1517), per Goitein. This document preserves a partnership agreement between two teachers, Raḍī b. ‘Abd al-‘Azīz b. Raḍī and Yeshu‘a Dukhān, in the manufacture and sale of cheese and other dairy products, for an unspecified fixed period. Each partner contributes both labor and capital: Raḍī is to be responsible for manufacture in the cheesemaking courtyard, bringing fifty qintār of halloumi cheese to the partnership. Yeshu‘a is to be responsible for sales, remaining in the shop and investing 1,000 silver half-dirhems, to be brought by Yeshu‘a in payments according to a schedule (see lines 10-12). Raḍī is to keep accounts. Profits and losses are to be divided equally, including rent for both the shop and the courtyard. Line 13 refers to the trustworthiness of the partners, important in this case since the two partners will not be working side by side. (Information from Lieberman, ""A Partnership Culture,"" 188)"
3746,Letter,"trade, wakil al-tujjar","Fragmentary business letter anxiously inquiring about the state of the wakils and the effect of some unknown event on them and on the public. Dated to the beginning of the 13th century. (Information from Mediterranean Society, I, 190)"
3747,Letter,,"Letter from Farah b. Yosef b. Farah in Alexandria to Abu Sa'd Khalaf b. Sahl in Fustat mentioning a shipment of coats, turbans, robes, and brazilwood. On the verso in the bottom margin is an unrelated Arabic account of 9 lines with amounts of money (in dinars) due to various people. See also T-S 8.20 (PGPID 7046)."
3748,Legal document,"legal query, Responsum","Fragment of a question mentioning a woman and a daughter, the father having been absent 16 years."
3750,Letter,trade,Letter concerning business issues in which the writer discusses the price of silk and references a previous conversation between Abu al-Tahur and the addressee. Abu al-Muna is also mentioned. EMS
3752,Letter,,"Beginning of a letter in Judaeo-Arabic, mentioning the arrival of a letter from the addressee. Probably a draft. Starting to complain about ill treatment by another person. Reused on verso for accounts in Arabic script and Greek/Coptic numerals."
3753,Letter,,Letter from David b. Nahum in Alexandria to Ismail b. Farah al-Qabisi in Fustat. The letter deals with goods and money. The writer also refers to slanderous and insulting remarks made in another letter. Address on verso. Only the beginning of the letter is preserved.
3754,Letter,"communal, Petition","Letter to the Nagid by a woman who had taken steps to convert to Judaism requesting that he accept her conversion, which, she assures him, she did not seek for material gain. She also mentions having gone to Atfīḥ. (Information from and translation in Mediterranean Society, III, pp. 309-310)"
3755,Letter,,Letter from Yusuf b. Yefet to his relative Abu Nasr congratulating him on the birth of a son. (Information from Goitein's index cards)
3756,Letter,,"Letter from Abū ʿUmar b. Hilāl to Abū l-Faraj b. Ibrāhīm, in Alexandria. In Judaeo-Arabic with the address both in Judaeo-Arabic and Arabic script. Dating: ca. 1200 CE (per Goitein). The addressee is called 'my son' by the sender. Describing the conversion of a house into a workshop, which has deeply upset the sender ('I went out of my mind'). He went to the 'rayyis' and threatened to complain to the government (sulṭān). May refer to 'the letter of the women' (kitāb al-nisā). Mentions the judge Menaḥem, who also 'went out of his mind.' Mentions other people including Abū Saʿīd Ibn al-Muqaddasī (appears also in Bodl. MS heb. f 22/47 (PGPID 605) ca. 1160 CE) and Abū l-Maʿanī. There are greetings to the sister and mother of the addressee. (Information in part from CUDL and Mediterranean Society, IV, pp. 15, 351.) Join: Alan Elbaum"
3757,Letter,recommendation,"Recommendation letter in the hand of Peraḥya b. Yosef, mentioning Abū l-Makārim, Avraham and his brother Ḥananʾel, Abū Isḥāq, Moshe (Maimonides), Rabbenu al-Maskil, and Sitt Mubārak. (Information mainly from CUDL.)"
3758,Letter,circumcision,"Letter from a merchant from Sunbat demonstrating his dedication to the community by relating how he had once traveled at a time of cold and rain to take care of a long overdue circumcision. (Information from Mediterranean Society, V, pp. 101-102)"
3759,Letter,,Beginning of a letter from Yaʿaqov b. Yosef mentioning the payment of goods and another document from the same writer to the addressee relating other information.
3760,Letter,,"End of a letter conveying greetings to all family members ('father, mother, sister, uncle, aunt, and anyone else under your care') of the addressee. Conveying the heartsickness (fasting, weeping) of everyone at home and telling the addressee that attaining the world (al-dunyā) will not be worth this if a certain woman in the house (his mother?) dies in his absence. On verso there is unrelated Hebrew poetry."
3761,List or table,acccount,Short note recording the receipt of payment for some purchased goods with part of the date preserved (Kislev 1412 Seleucid = November/December 1100 CE).
3762,Letter,,"Note on vellum sent on the evening following the day of Atonement, asking to return liturgical material for the feast of Tabernacles, which the writer had “borrowed.” The writer also wishes that the fast of the addressee should be accepted by God. (Information from Goitein's index cards) EMS"
3763,Letter,"communal, Petition","Letter in Hebrew, complete but letters smudged on right side and crossed out in line 7. Apparently an appeal for charitable assistance."
3764,Letter,"illness letter 969-1517, illness: eye, mail-order medicine, Aleppo, Qaraites, garments, Tustari, Illness, enemies","Letter fragment in Judaeo-Arabic. On parchment. Referring either to the addressee's intimate relations with the Tustari brothers in Fustat or that he now equals them in prestige, along with Sahlān he-Ḥaver. Elsewhere in the letter there are at least two references to how the Qaraites are the enemies of the addressee and they must not be allowed to gloat. Also mentions the sending of a valuable garment (thawb Arjīshī(?)); a request that the addressee send a half-mithqāl of Indian tutty, because one of the sender's eyes is having problems; the addressee's intended trip to Aleppo, and advice that he take care of himself and take medicines (or possibly the opposite, ""don't drink too many medicines""). Also refers to various business transactions. (Information in part from Goitein's index card.)"
3765,Letter,,Fragmentary letter in Hebrew discussing two people.
3766,Letter,,Detailed postscript to a letter sent one month before this one with someone who had gotten stranded while traveling on the sultan's ship. This second letter was probably sent overland. The sender is Yosef b. Berekhya. (Information from Goitein's index cards)
3767,Legal document,register,"Fragment of a court record containing testimony about a negotiation between Abū l-Faḍl b. Abū l-Majd and Abū l-Barakāt b. al-Dayyān (a.k.a. Shelomo b. Eliyyahu). Mentions cursing, perhaps agreeing not to curse someone (פי אללענה...). Dating: early 13th century. In the top margin are a few words in Arabic script referring to Abū ʿAlī b. Dāʾūd and 100 dinars(?). On verso there are sundry other jottings in Judaeo-Arabic and Arabic script, including a calendrical list, phrases from letters, and lists of items like potash (ushnān) and lemon with Greek/Coptic numerals."
3768,Legal document,,Settlement agreement as part of which golden rings worth forty dinars were exchanged (one with a pearl) before the consummation of the marriage which was postponed to complete this exchange. (Information from Goitein's index cards)
3769,Letter,"Nahray B. Nissim, trade, soap, State, markab al-sultan",Fragment of a letter from Nahray b. Nissim to an unidentified addressee mentioning accounts and the amount of linen that the addressee has to provide. A load of soap on the sultan's ship is also mentioned. Dated to the second half of the 11th century.
3770,List or table,"Passover, acccount","Fragmentary list of sums received and final expenditures, including a Passover gift."
3771,Legal document,"Marriage, marital reconciliation","Settlement after marital dispute between husband and wife, safeguarding her freedom of movement. In the hand of Ḥalfon b. Menashshe (1100–38). Agreement between Ẓāfira b. Yefet the cantor and her husband, who agree after being on the brink of divorce and following reconciliation that she will have the right of leaving the house and can move between designated places according to her will. (Information from CUDL and Goitein's index cards)"
3772,Letter,,"Letter reporting the acquisition of pieces of jewelry and their prices. Wrongly marked as T-S 8 J29 f 15 in Mediterranean Society, IV, Appendix D, note 92."
3773,Legal document,,"Court record. Fragment (lower part only). In the hand of Shelomo b. Eliyyahu. In which Abū l-Ghayth al-Sabbāk (""the caster"") and his son Ibrāhīm al-Ḥarīrī renounce a claim on two pieces of cloth worth two dinars which belong to Sitt al-Milāḥ, the wife of Sulaymān and divorcee of Abū Saʿīd, as described in her ketubba and left to her by her husband. Also mentions [...] b. Ṣedaqa and Abū Manṣūr. (Information from CUDL and Goitein's index cards)"
3774,Letter,,"Letter fragment in Judaeo-Arabic. Between judges or communal leaders, dealing with at least two ongoing legal cases. The first concerns a lawsuit between al-ʿAmmānī and his allies (mutaʿaṣṣibīn) versus Ibrāhīm al-Zand(?). There is a concern that al-ʿAmmānī and those on his side are trying to cheat the Qodesh (l. 7). The second case comes up in ll.13–15; apparently, documents have reached the court to the effect that Ibn Mufaḍḍal has been doing bad things. ASE."
3775,Paraliterary text,prescription,"Medical prescription in Judaeo-Arabic. Ingredients include: probably 2 oz. grainy concentrated lemon syrup (sharāb laymūn murammal), 1/2 oz. sugar candy (sukkar nabāt), something weighing 3 dirhams, 1/2 dirham white gum of tragacanth (kathīrāʾ bayḍāʾ), something weighing 1/8 dirham. Possibly aphrodisiac: ללגמ[אע?]. (Information in part from Goitein's index cards.)"
3776,Legal document,,"Recto: Declaration made by the merchant Yosef b. Moshe b. Barhūn al-Tāhirtī. Location: Alexandria. Dated: Sunday, 8 days remaining in Iyyar 4807 AM, which is 1047 CE. Stating that a sum of 20 dinars assigned to him as a debt in a document of settlement drawn up a year earlier belonged to the daughter of Menaḥem al-Shaʿālī, the wife of Yosef b. Yaʿaqov Ibn al-Zākī. The woman's deceased brother, Khulayf b. Menaḥem al-Shaʿālī, had been present at the drawing up of the first document. The present declaration is drawn up in the presence of Yehoshuaʿ and Sahlān, the sons of Menaḥem al-Shaʿālī and heirs of Khulayf. Verso: Draft of the same document with the additional information that the earlier document was drawn up in front of a court comprised of Alexandrians and Ifrīqiyans. The woman is described here as the wife of Yosef b. Yaʿaqov Ibn al-Zākī who joins with Yosef b. Moshe (b. Barhūn al-Tāhirtī) in making the declaration. Also, it is mentioned that Khalaf/Khulayf died while traveling to Syria. Yosef b. Moshe asks the witnesses to declare he had already given the woman a debt acknowledgement before her brother's death. See AIU VII.E.55v, which is related. (Information in part from Goitein's index card.)"
3777,List or table,acccount,"Bottom pat of a list in the hand of Ḥalfon b. Menashshe ha-Levi (1100–38 CE). Mentioning part of the formulaic blessings for Maṣliaḥ Gaʾon (1127–39 CE), תכון משרתו לנצח. At least part of it concerns an expenditure given to Abū l-Ḥasan to be delivered to the widow of Abū l-Munā mentioning dirhams and dinars. The entries are separated by horizontal lines. Many other names are mentioned. (Information in part from Goitein's index card.)"
3778,Legal document,,"Legal document. Location: al-Maḥalla. Settlement agreement between Abū l-Ḥasan and Manṣūr, his brother-in-law. A document establishing some detail was made out for the sister with the same provisions as her ketubba (probably that she was entitled to part of a house); refers to a document from the Muslim courts. One of the witnesses is probably [...] b. Mevorakh. (Information in part from Goitein's index cards)"
3779,Literary text,"dirge, poem","Dirge on the death of a scholar which also appears in another document (Or 5557 P. f. 56) believed to have been written on the occasion of the demise of Shemarya b. Elhanan (ca. 1011). (Information from J. Mann, Jews, II, pp. 27-28, and Goitein's index cards)"
3780,Literary text,poem,"Poems, evidently pages from a collection, beginning with the final section of Avraham ibn Ezra's 'Aha yarad,' the lament over the communities of Spain and North Africa destroyed by the Almohads. This section deals with the communities in North Africa."
3781,Literary text,,Fol. 1: Halakhic discussion regarding the proper time for prayer.
3782,Literary text,poem,"Fol. 2: Poem written by Abū l-Maḥāsin b. Abū Naṣr al-Ḥasid. According to CUDL, it is a copy of a polemic against a Gaʾon."
3783,Letter,"communal, excommunication, Muslim courts, interest, heqdesh, French rabbis, conflict, miqve","Letter from Yeḥiel b. Yiṣḥaq ha-Ṣarfati, in Jerusalem, to a certain Menaḥem (probably the judge Menaḥem b. Yiṣḥaq b. Sasson), probably in Cairo. Dating: Early 13th century, likely 1219–29 CE (Shweka's assessment). See also T-S 8J33.4, a previous letter on the same matter. ""At the beginning of the 13th century there were two communities in Jerusalem which were established after the city was conquered by Salah al-Din in 1191: the Ashkelonite community and the Maghrebi community. Beginning in 1210, a wave of pilgrims – known as the Emigration of the Rabbis – arrived from France and England. Relations between the various communities were very tense, as testified by Yehuda Alharizi, who visited Jerusalem in 1214. From letters of R. Yehiel the Frenchman to Fustat, we learn about a heated debate that took place in Jerusalem at the time. Because the Jews were not allowed to immerse themselves in the Shiloah spring, a campaign was held in Egypt to build a new mikveh, and a large sum was collected and sent to the community in Jerusalem for this purpose. But R. Yehiel, the leader of the community, objected to the construction of a new mikveh, preferring that the women of the community immerse in a private mikveh in his home – according to him, this would enable his wife to supervise the women’s immersion. R. Yehiel appealed to the local judge in Fustat, asking permission to change the the donation’s destination. However, members of the local community were not satisfied with this arrangement, and tried to build a new mikveh. The ensuing dispute split the community, until R. Yehiel and his group were forced to leave the synagogue. The two groups did not hesitate to involve the Muslim ruler in the conflict, which led to the arrest of some members of the community. The controversy spilled over into an interethnic struggle, with tensions caused by changes based on the French halachic tradition instituted by R. Yehiel. Until now, we knew of this story from two pages published almost a century ago. With the discovery of five additional pages, we now have a full description of this episode from the history of Jerusalem in the early 13th century."" (Information from Roni Shweka.) Previous description: Four-page letter in Hebrew perhaps from Alexandria, concerning a dispute between prominent members of the Jewish community and the consequent expulsion of one of them from the synagogue. (Information from Mediterranean Society, IV, 384, and Goitein's index cards.)"
3784,Letter,,Flowery Hebrew letter addressed to R. Maimonides.
3785,Legal document,inheritance,"Statement of evidence for the declaration of a son unable to fulfill his father's deathbed wish to provide a dinar for his wife. Dated Monday, 8 Kislev 1463/October 1151."
3787,Legal document,13th c,"Draft of the beginning of a legal record. Handwriting of Shelomo b. Eliyyahu? Location: Fustat. Dated: 9 Elul 1533 Seleucid = 18 August 1222 CE, under the authority of the Nagid Avraham Maimonides (1205–37). A certain Abū l-Bayān makes a declaration"
3788,Legal document,"Moshe b. Levi, Magic, necromancy","Moshe b. Levi ha-Levi agrees to bring to court a husband and his wife, the latter being accused of frightening another man's wife with practices of necromancy forbidden by religion. (Information from Mediterranean Society II, pp. 332, 599)"
3789,Legal document,Avraham Maimonides,"Record of statement of release issued by the court of the Nagid Avraham Maimonides (1205–37). Dated: Monday, 15 Iyyar 1538 = 3 May 1227 CE. Involves al-Shaykh al-Muhadhdhab the physician known as b. al-ʿAṣṣār (ZL) and his house. The witnesses are Yeḥiʾel (b. Elyaqim?) and Eliyyahu (b. Zekharya?)."
3790,Legal document,"autograph, 11th c, Avraham b. Sahlan, Partnership","Legal document. Partnership dissolution. Dated: March 1029. Location: Fustat. This document, emerging from the court of Abraham b. Sahlān, records the dissolution of a partnership between Ibn al-Kashshāsh Isḥaq b. Elijah and Samḥūn b. Tamīm. Isḥaq is to pay six dinars at the end of roughly seven months, at the end of the month of Tishri of the next year, and Samḥūn thereby absolved Isḥaq of any further obligation. Isḥaq also agreed that if he were to travel to the West without Samḥūn, that he would pay the six dinars prior to his departure.


Court record dealing with the affairs of two business partners signed by Avraham he-Ḥaver b. Sahlan, Shemuel ha-Kohen and Sadaqa b. Yahya. Dated Tishri 1341/September 1029."
3792,Letter,"illness letter 969-1517, Illness, Illness: women's","Upper part of a letter from Musa b. Yusuf b. Nissim, possibly to Ishaq al-Nafusi (line 8), who had written regarding the wife of his son Abu Zikri, apparently asking her to travel. Musa tells him that she cannot travel for several reasons, among them that she has been sick since Sukkot."
3793,Letter,,"Letter/petition from a woman, in Bilbays, to Abū ʿImrān b. Muwaffaq, in Fustat, the square of the moneychangers. In Judaeo-Arabic. Dating: probably 12th or 13th century. She asks the addressee to speak to her brother (probably Sālim al-Naqqād al-Ṣayrafī) and rebuke him for not helping her in this foreign land. Her travels have not been by her own choice; she was looking for fortune and has attained the opposite; now she is 'perplexed and cut-off.' Later she specifies that she only left to reach al-Shām (Damascus?) but never made it. If they want her to come to Fustat, they must send her the costs of the journey. (Information in part from Mediterranean Society, I, p. 448)"
3794,Letter,,"Letter, fragmentary, from Tyre in Hebrew and Arabic, including a Passover greeting and mentioning Natan ha-Kohen and Mevorakh ha-Kohen."
3795,Letter,,"Letter, fragmentary, containing greetings and mentioning the Gaon Yaʿaqov and Nethanel ha-Sar, a descendant of Shemarya the Sixth. Alternate description: ""Letter in tiny script, addressed on verso to Nathaniel ha-Sar ha-Gadol [...], mentioning a number of other partial names and titles. Letter continues diagonally in the right-hand margin. There is a short note in a different hand written upside-down in the margin on recto, giving Passover greetings from Mevoraḵ ha-Kohen b. Nathan ha-Kohen he-Meʿulle the judge to a woman whose sons are greeted as ‘ha-Sarim ha-Gedolim’. A Judaeo-Arabic letter in a third hand fills the blank space above the address on verso. (Information from CUDL.)"
3796,Legal document,,"Recto (secondary use): Notarized grant of permission to travel until a specific date given by a wife Ḥusna bt. Yiṣḥaq to her husband Farāj(?) b. Ḥabīb al-Barqī and an empowerment by the notary Avraham b. Mevasser to issue her a bill of divorce should the husband not return within the prescribed time. Location: Fustat. Dated: Sunday, 20 Tammuz 1356 = 7 July 1045 CE. (Information in part from Goitein's index card.)"
3797,Legal document,draft,"Draft of a deathbed declaration in which Abu al-Husayn Moshe b. Shelomo, the perfume vendor, grants his wife her delayed marriage gift and stipulates conditions in case she remarries. Dated ca. 1120. The document begins on verso, which also contains its main part, and continues on recto in the form of a draft written in a different hand. See also ENA 1822a.17, which contains the same document. (Information from Mediterranean Society, III, pp. 411, 168, 251, 463, 481)"
3798,Legal document,acccount,"Fragment of an account containing names and amounts of money in dinars and dirhams. Probably part of a court record, based on the presence of the signature of the parnas ʿEli b. Yaḥyā ha-Kohen (late 11th to early 12th century. The lower entry here looks like the hand of Netanʾel b. Yefet (cf. CUL Add.3420.2 (PGPID 5378))."
3799,Legal document,,"Legal document in Hebrew, perhaps a draft or beginning of a copy. In a which a woman, possibly Jawhara bt. Maḥfūẓ (whose name appears at the top), declares that her husband ʿAbbās b. Khalaf known as Ibn al-Zaʿtar abandoned her when he travelled abroad eight years ago to the land of Israel. She has witnesses to support her claim. Dated: Monday, 3 Tishrei, year unspecified. Apart from the names of Jawhara and ʿAbbās, the name David b. Salmān and the phrase from the document ""8 years"" also appear at the top. Cf. the alms list T-S 18J2.4 (PGPID 4575) in which ""the wife of ʿAbbās"" receives a distribution. (Information in part from Goitein's index card.)"
3800,Legal document,,Fragment (upper right corner) of a legal document written under the authority of Avraham Maimonides (1205–37). Dated: 1546 Seleucid = 1234/35 CE. A certain Zakkay makes a declaration.
3801,Legal document,,"Record of writ of release. End of a legal document concerning Abū Maʿālī and financial matters (?), signed by Hillel b. Yosef and Shelomo [b. Saʿadya] ha-Levi, with an addendum containing many names, including Shelomo b. Shemuel ha-Levi, [... b.] Yosef ha-Bavli, [...] ha-Levi b. Shemuel, Shemuel (?) b. Shemuel, Yiṣḥaq b. Sason the judge, Eliyya b. ʿEli he-Ḥaver ha-Meʿulle, and Yehuda b. Moshe. (Information from CUDL.)"
3802,Legal document,Partnership,"Fragmentary court record, apparently settling or recording accounts between partners. Location: Fustat. Dated: Thursday, 20 Tammuz 1404 = 17 July 1093 CE. Mentioning the title Rosh ha-Gola and the parties ʿArus and Menashshe b. Yefet ha-Kohen. (Information in part from Goitein's index card and CUDL.)"
3803,Legal document,,Fragmentary legal record drafted in Fustat and including an incomplete date (Sivan 14[..] Seleucid). Involves Abū l-Surūr and Abū Saʿīd Ḥalfon. Dated to the late 11th or early 12th century. Written and signed by Hillel b. ʿEli.
3804,Legal document,,"Bottom of a legal document. Location: Fustat. Dated: Adar 1455 Seleucid = February/March 1144 CE, under the authority of the Nagid Shemuel b. Ḥananya. Declaration given on request stating that someone had been under tarsim (house arrest) for a period of time."
3805,Legal document,,"Beginning of a legal document in Hebrew, drawn up in Egypt in Ṭevet 13[..] Seleucid = 988–1087 CE."
3806,Legal document,"16th c, Ottoman, coin, numismatic dating",Legal document in Hebrew. Dating: 1517 CE(?). Stating that 93 peraḥim (ducat equivalents) of the coinage of the Sultan Selim which were destined for the Yeshiva in Jerusalem were given to another Yeshiva (Sultan Selim reigned 1512-1520 CE). (Information from Goitein's index cards)
3807,Legal document,,"Recto: Claim on money (one dinar), though other property is also mentioned, and an acknowledgement of debt. The document has witness signatures in a different hand. Verso: Wedding piyyut ארוממ בתהלה ללו הממשלה. (Information from CUDL.) Join (indirect): Oded Zinger."
3808,Legal document,"bill of sale, real estate","Court record. Dated: Monday, 14 Adar I 1464 Seleucid = 10 February 1153 CE. The cantor Yosef b. Mikhaʾel sells a little house in Fustat, one half of which belonged to him and the other to his daughter, the wife of Hiba al-Shammash (the beadle) to the water carrier (al-saqqāʾ) Ibrāhīm b. Khalaf, for 6 dinars. On verso there are Arabic alphabet writing exercises."
3809,Legal document,deathbed will,"Fragment of the beginning of a deathbed declaration, issued by a court whose judges were appointed by Moshe b. Mevorakh (1112-ca.1126) and Mevorakh b. Saadya (1099-1111) in Fustat."
3810,Letter,,Letter to Abu al-Faraj Nissim b. 'Ayyash from an unidentified sender in Alexandria concerning the payment of 43 dirhams. Reference is made to a woman who should stay with the addressee. Various other people are also mentioned in the body of the letter and in the greetings.
3811,Letter,"communal, yeshiva, 11th c, Shelomo b. Yehuda","Recto: Letter addressed to Shelomo b. Yehuda, the gaon of the Palestinian yeshiva. Dating: 1025–51 CE. This is a fragment containing 12 lines from the beginning of the letter. In the margins of recto and on verso, there is also a will concerning gold for a man's daughter."
3812,Legal document,will,"Margins of recto and verso: Will, presumably a draft, concerning gold for a man's daughter Karīma. Mentions various other family members, such as her maternal aunt, her sister, Khalaf, Yūsuf b. Yiṣḥaq, and her maternal uncle Manṣūr. A sum of 6 dinars is mentioned in line 9. Several names appear at the bottom of the document, but these appear to be the scribe's notes rather than actual signatures: Sulaymān b. Saʿīd; Avraham b. ʿAlī; Munā bt. Ismāʿīl; the maternal uncle Avraham b. Zudaybilāt(?); the paternal uncle Mūsā b. ʿUqayb al-Mastī(?)."
3813,Letter,trade,"Letter addressed to a certain Ishāq. In Judaeo-Arabic, with a postscript in Arabic script. Dating: Probably Mamluk-era. Concerning the delivery of a consignment of peas by a slave(?)-agent, which is to be paid for in sal-ammoniac rather than money, and instructions to send sal-ammoniac, garlic, and candles with a third party named ʿAbd al-Waliyy. Refers to Miṣrī (Egyptian) and Qudsī (Jerusalemite) pounds."
3814,Letter,,"Informal note to Abū Isḥāq Ibrāhīm. The writer was amazed to learn of Abū Isḥāq's worry/fear (ḍuʿf al-qalb) and urges him not to worry so much (""the heart of a man should not be weak""). ""Even if אהל אלתקלין all gathered together, they could not do except what God wills."" Goitein's note card suggests that this might refer to demons, probably a deduction from context. It might also be ""ahl al-thaqalayn,"" i.e., the people of the two weights (the Qur'ān and the family of Muḥammad), meaning Muslims. (Information in part from Goitein's index card.) ASE."
3815,Letter,,"Letter from Yehuda b. Yosef of Qayrawān (active 990s–1030s), apparently sojourning in Alexandria, to the three senior Tustari brothers (Sahl, Yosef, and Saʿīd the sons of Yisraʾel), in Fustat. In the letter Yehuda states that he will bring all the letters except those for Abū l-Faraj Yosef b. Yaʿaqov (Ibn ʿAwkal), which he had already given to Abu Mansur Ghalib to deliver. (Information from Mediterranean Society, V, pp. 239 and 572, and Goitein's index cards.) On Yehuda b. Yosef, see Menahem Ben-Sasson, ""ראשי הציבור בצפון-אפריקה — הדמות והתדמית: היצירה הספרותית כמקור היסטורי,"" Peʿamim 26 (1986), 134f."
3816,Letter,,Letter from 'Ayyash b. Sadaqa in Fustat to Barhun b. Moshe Tahirti of Qayrawan in Alexandria. Dating: 11th century.
3817,Letter,,"Fragment of a letter from Malij in Lower Egypt to a Nagid informing him that Yosef the proselyte was received in town with due honor. He had left some codices with the Nagid and another scholar, which he now wanted back. (Information from Goitein's index cards)"
3818,Letter,,"Letter (possibly a copy, as it is blank on verso and is set out more like a page of text than a letter) sending greetings to ‘ha-Sar ha-Niḵbad ha-Rav ha-Muv[h]aq [...] Moses’. Also refers to ‘Moses Sar ha-Alef’. (Information from CUDL.) NB: A previous description on PGP said ""Letter to Abu al-'Ala and Abu 'Aja, written in Hebrew. The address on verso is in Judaeo-Arabic and contains instructions concerning personal matters and about the delivery of the letter."" However, there is no address on verso, so this description (together with the transcription for verso) must belong to a different fragment. PGP also previously listed a transcription for the erroneous verso: לשיך אבו אלעלא ואגא פציצא בעד ארסאל האדא אלכתאב ננפדה מע מן נערף."
3819,Letter,trade,Letter from Mubarak ha-Levi b. Yosef to Alexandria concerning business matters. The writer calculates how much he has paid the addressee and how much of the account between them remains. The addressee is also ordered to borrow ten dirhams from a third person for trading purposes.
3820,Letter,personal,"Beginning of a letter from Abu al-Faraj to Abu al-'Ala the glassmaker, containing eulogies and ending with an extensive list of greetings. On verso are some Arabic notes of amounts."
3821,Letter,trade,Letter concerning business matters in which the writer mentions silk and asks the addressee for further trade-related instructions to be sent to him in a future letter.
3822,Letter,"illness letter 969-1517, disability, disability: vision, private, Petition, Illness","Petition from Yusuf requesting help from the addressee, Natan, for a woman who has weak vision and a blind daughter. The sender also enquires after another woman."
3823,Letter,"private, Petition","Petition from Yaʿaqov b. Aharon, a man of some learning. In Judaeo-Arabic. Dating: Unknown. The sender petitions the addressee for financial help and for an appeal through the addressee to the council of elders to arrange a public collection for him. He describes himself as 'naked and bare with nothing upon me and nothing beneath' and having three children and a wife. In the margin the sender offers to copy out for the recipient the 'prayer for rain,' a long and extremely difficult liturgy (recited on the concluding holiday of the Feast of the Tabernacles) which Yaʿaqov obviously knew by heart. (Information from Mediterranean Society, V, pp. 90, 531.) Possibly in the hand of the clerk of Yehoshua Maimonides (d.1355)."
3824,Letter,trade,"Business letter concerning a trip of the addressee and a third person, and mentioning 80 dirhams in the possession of someone else and the arrival and news of yet another person."
3825,Letter,,Letter to Abu al-Faraj who is addressed with many honorific titles and is informed about the delivery of his letter to the sender.
